bundesland,diesel,e5,e10,date
Baden-Württemberg,2.326324064000849,2.248280574203306,2.1589272162814765,2022-03-12 00:00:00
Bayern,2.3094508773533176,2.219094475415829,2.0904464448912448,2022-03-12 00:00:00
Berlin,2.282886647314949,2.214840203193033,2.144209579100145,2022-03-12 00:00:00
Brandenburg,2.308072081881533,2.206437826655052,2.1061546167247385,2022-03-12 00:00:00
Bremen,2.314417048579285,2.2697974335472044,2.1833524289642527,2022-03-12 00:00:00
Hamburg,2.2717210193523663,2.2609335121670817,2.175425368844606,2022-03-12 00:00:00
Hessen,2.2955437593984964,2.216581766917293,2.108652932330827,2022-03-12 00:00:00
Mecklenburg-Vorpommern,2.3223363020572,2.1514719016557957,2.040280356246864,2022-03-12 00:00:00
Niedersachsen,2.3155229386236824,2.2069221664881926,2.026193231133405,2022-03-12 00:00:00
Nordrhein-Westfalen,2.281892633558856,2.2057911625164928,2.1110335476264,2022-03-12 00:00:00
Rheinland-Pfalz,2.29409416833359,2.2173082781966458,2.134755346976458,2022-03-12 00:00:00
Saarland,2.2898808643730453,2.229900767699744,2.1161160079613306,2022-03-12 00:00:00
Sachsen,2.2966488958765097,2.196245265489888,2.0872352604873865,2022-03-12 00:00:00
Sachsen-Anhalt,2.322556617803272,2.1973936690036115,2.030977267898874,2022-03-12 00:00:00
Schleswig-Holstein,2.3041620301864456,2.213501035809411,2.0360065108020127,2022-03-12 00:00:00
Thüringen,2.326450075971348,2.2263687866290427,2.0474739526807038,2022-03-12 00:00:00
bundesweit,2.3029748876228395,2.2150806207161757,2.09645865393005,2022-03-12 00:00:00
Baden-Württemberg,2.325753151260504,2.251488633915105,2.1629757864684334,2022-03-13 00:00:00
Bayern,2.3154799093201324,2.2190391866571053,2.0871207060075414,2022-03-13 00:00:00
Berlin,2.286887556221889,2.223680659670165,2.15242203898051,2022-03-13 00:00:00
Brandenburg,2.3074857529001016,2.213019146300259,2.1227875886924203,2022-03-13 00:00:00
Bremen,2.316815414825724,2.2741939126165933,2.193349533627884,2022-03-13 00:00:00
Hamburg,2.2834476744186047,2.263174418604651,2.1743273255813955,2022-03-13 00:00:00
Hessen,2.3000995279463683,2.218830854060058,2.1054504740370503,2022-03-13 00:00:00
Mecklenburg-Vorpommern,2.3232330630394977,2.163339262359404,2.053919304211352,2022-03-13 00:00:00
Niedersachsen,2.3186058060713237,2.2166371942234013,2.0368741821396994,2022-03-13 00:00:00
Nordrhein-Westfalen,2.2846804824337528,2.205136781927693,2.110842479837828,2022-03-13 00:00:00
Rheinland-Pfalz,2.296404464285714,2.2204690746753246,2.139772077922078,2022-03-13 00:00:00
Saarland,2.291508453735014,2.2349883184752537,2.118304334460498,2022-03-13 00:00:00
Sachsen,2.30395730017762,2.2036756660746004,2.097563410301954,2022-03-13 00:00:00
Sachsen-Anhalt,2.3199697612732098,2.2164379840848807,2.051043395225464,2022-03-13 00:00:00
Schleswig-Holstein,2.31442071946889,2.217906360969585,2.041525011579435,2022-03-13 00:00:00
Thüringen,2.335360501207035,2.2383825727095066,2.054354408552707,2022-03-13 00:00:00
bundesweit,2.306599023309805,2.219077171200982,2.1003594440070987,2022-03-13 00:00:00
Baden-Württemberg,2.32233839474131,2.250469376864676,2.156387124942392,2022-03-14 00:00:00
Bayern,2.3143942619840634,2.219270352881656,2.087002382056579,2022-03-14 00:00:00
Berlin,2.294899166906061,2.2354478598103995,2.1651755242746336,2022-03-14 00:00:00
Brandenburg,2.311020375388939,2.205612265381913,2.100616079494128,2022-03-14 00:00:00
Bremen,2.321683519688868,2.285665046183763,2.2026130286825474,2022-03-14 00:00:00
Hamburg,2.290844564084752,2.273322855158041,2.1851299062174365,2022-03-14 00:00:00
Hessen,2.299165457184325,2.2212213529682465,2.1085141420935254,2022-03-14 00:00:00
Mecklenburg-Vorpommern,2.335446021047653,2.152437625635568,2.0351047652831973,2022-03-14 00:00:00
Niedersachsen,2.3155641012734685,2.2068960839583225,2.018208687773695,2022-03-14 00:00:00
Nordrhein-Westfalen,2.2951522744493507,2.216611096595511,2.118460755624069,2022-03-14 00:00:00
Rheinland-Pfalz,2.292565634218289,2.2251860619469026,2.1396884955752213,2022-03-14 00:00:00
Saarland,2.3070638182801515,2.2562006489994597,2.1437752839372632,2022-03-14 00:00:00
Sachsen,2.300566597883246,2.2107599014843906,2.098168009052785,2022-03-14 00:00:00
Sachsen-Anhalt,2.32549389074018,2.210735938604464,2.0454456225386246,2022-03-14 00:00:00
Schleswig-Holstein,2.331461269574944,2.228248671700224,2.056307466442953,2022-03-14 00:00:00
Thüringen,2.337787152034261,2.232952890792291,2.0483763383297644,2022-03-14 00:00:00
bundesweit,2.309576387324303,2.2215379120367458,2.098965429918081,2022-03-14 00:00:00
Baden-Württemberg,2.3031754949827032,2.2405279324811698,2.1455309256851245,2022-03-15 00:00:00
Bayern,2.303928775827968,2.2183413710390103,2.086028994655557,2022-03-15 00:00:00
Berlin,2.300561035937727,2.231693001600465,2.16141553906591,2022-03-15 00:00:00
Brandenburg,2.307000814083647,2.2001444998473594,2.0959139106543194,2022-03-15 00:00:00
Bremen,2.303070305272896,2.26926827012026,2.184534227567068,2022-03-15 00:00:00
Hamburg,2.2814094835508176,2.272690498070208,2.183068002205477,2022-03-15 00:00:00
Hessen,2.28377057698553,2.211275971565691,2.100295709594775,2022-03-15 00:00:00
Mecklenburg-Vorpommern,2.2982068235031776,2.133417214851154,2.016031107146839,2022-03-15 00:00:00
Niedersachsen,2.295345087971004,2.1929571094162954,2.001635430038511,2022-03-15 00:00:00
Nordrhein-Westfalen,2.2825218705183365,2.204240947039541,2.1081436565253022,2022-03-15 00:00:00
Rheinland-Pfalz,2.255945347514884,2.201199678908288,2.1175740183289853,2022-03-15 00:00:00
Saarland,2.2684268610098908,2.2266270171785525,2.116437532535138,2022-03-15 00:00:00
Sachsen,2.296703162370449,2.1982684693064045,2.08251454956152,2022-03-15 00:00:00
